cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,current_time
213141712584544,"fraud_Reilly, Heaney and Cole",gas_transport,83.53,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1984-12-24,dbbf1330e2b426869ef2093b67d27ca7,33.011034,-90.919888,0,2026-02-05 08:31:53.179
30131826429364,fraud_Ratke and Sons,health_fitness,63.66,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,a9828b66d5d3649d830286e735cf0886,36.352139,-84.127647,0,2026-02-05 08:31:59.021
375848982312810,fraud_Schuppe LLC,entertainment,54.82,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,87a1ef06f671a810f9769dbac8fa6d88,31.504829,-97.86808,0,2026-02-05 08:32:05.392
340951438290556,fraud_Mohr-Bayer,shopping_net,160.61,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,d962b94e6d1c5a4af7972cffb18ff964,41.040717,-74.769047,0,2026-02-05 08:32:10.419
6011348830550197,"fraud_O'Connell, Botsford and Hand",home,62.16,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,dadc8a1b069e395f09010b6768b29ee5,32.629893,-85.823268,0,2026-02-05 08:32:16.707
4708992452821239,fraud_Padberg-Sauer,home,30.71,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",1938-09-08,872306401a35b4699d4d151345bcbd4a,36.399546,-92.177161,0,2026-02-05 08:32:22.334
6534628260579800,fraud_Dietrich-Fadel,health_fitness,344.54,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,31584137209d6aa39d70c586a2117901,45.100405,-73.134598,0,2026-02-05 23:09:20.376
4839043708100390,"fraud_Rowe, Batz and Goodwin",grocery_pos,56.81,Meredith,Campbell,F,043 Hanson Turnpike,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,1999-06-28,dcd04ec3d531cccb2ff5bfffe56a4d88,41.451,-92.394947,0,2026-02-05 23:09:28.158
4328928491302401,fraud_Kerluke-Abshire,shopping_net,5.38,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,1593776f2343b175198fcaa86e5d47ea,43.509485,-88.117698,0,2026-02-05 23:09:34.084
4292743669224718067,fraud_Berge-Hills,kids_pets,25.7,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1973-06-09,f5609d394228e1f6801add4ac7c06fd1,38.91304,-76.968905,0,2026-02-05 23:10:09.998
4129767952109660,fraud_Lesch Ltd,shopping_pos,53.08,Cheryl,Ballard,F,248 James Squares Apt. 838,Halstad,MN,56548,47.3551,-96.798,771,"Scientist, audiological",1972-06-14,843013daba5a675ad870f256b4dbee44,48.045973,-96.12788,0,2026-02-05 23:10:16.415
2720830304681674,fraud_Kling-Grant,grocery_net,53.27,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,1974-03-28,ff485b28d4697e84f4921b1113b9bc8e,35.675055,-86.715507,0,2026-02-05 23:10:28.979
